feature,importance
total_payment,0.11684538714909169
avg_price,0.11671309428726416
freight_ratio_capped,0.11518649696032908
top_category_enc,0.1034254248736425
product_revenue,0.10292134571482595
payment_installments,0.09751206549280204
days_vs_estimate,0.08719171380814096
delivery_days,0.07268685600097673
customer_state_enc,0.053787462759159445
review_score,0.03655849880979859
seller_state_enc,0.03240822155036761
n_items,0.025812433800092523
has_comment,0.012545984403634155
used_boleto,0.00906473134450803
used_credit_card,0.008399903788968176
n_payment_types,0.0045812943170121636
is_late,0.004359084939386281
